parcela,año,Especie,fun_group,abundancia,abundancia_std,area_total_ha,area_somera_ha,area_profunda_ha
A2,2006,Limosa limosa,wader_mid,25,8.333333333333334e-4,46.71,7.92,38.79
A2,2006,Phoenicopterus roseus,wader_deep,370,0.01053260838623359,46.71,7.92,38.79
A2,2006,Platalea leucorodia,wader_deep,2,0.00442477876106194,46.71,7.92,38.79
A2,2006,Recurvirostra avosetta,wader_mid,212,0.01723577235772357,46.71,7.92,38.79
A2,2006,Tadorna tadorna,duck_dabb,47,0.00451923076923076,46.71,7.92,38.79
A2,2006,Tringa totanus,wader_shall,140,0.24518388791593695,46.71,7.92,38.79
A2,2007,Actitis hypoleucos,wader_shall,2,0.1111111111111111,43.2,6.93,36.27
A2,2007,Anas crecca,duck_dabb,60,0.003,43.2,6.93,36.27
A2,2007,Anas platyrhynchos,duck_dabb,380,0.038,43.2,6.93,36.27
A2,2007,Aythya ferina,duck_dive,20,0.002,43.2,6.93,36.27
A2,2007,Himantopus himantopus,wader_mid,70,0.01076923076923076,43.2,6.93,36.27
A2,2007,Limosa limosa,wader_mid,210,0.007,43.2,6.93,36.27
A2,2007,Phoenicopterus roseus,wader_deep,60,0.00170799054911896,43.2,6.93,36.27
A2,2007,Recurvirostra avosetta,wader_mid,121,0.00983739837398374,43.2,6.93,36.27
A2,2007,Spatula clypeata,duck_dabb,220,0.0044,43.2,6.93,36.27
A2,2007,Tadorna tadorna,duck_dabb,18,0.00173076923076923,43.2,6.93,36.27
A2,2007,Tringa totanus,wader_shall,6,0.01050788091068301,43.2,6.93,36.27
A2,2008,Anas crecca,duck_dabb,65,0.00325,40.23,5.76,34.47
A2,2008,Anas platyrhynchos,duck_dabb,250,0.025,40.23,5.76,34.47
A2,2008,Himantopus himantopus,wader_mid,100,0.01538461538461538,40.23,5.76,34.47
A2,2008,Limosa limosa,wader_mid,214,0.00713333333333333,40.23,5.76,34.47
A2,2008,Mareca strepera,duck_dabb,10,0.004,40.23,5.76,34.47
A2,2008,Netta rufina,duck_dive,2,2.5974025974025974e-4,40.23,5.76,34.47
A2,2008,Phoenicopterus roseus,wader_deep,340,0.00967861311167411,40.23,5.76,34.47
A2,2008,Platalea leucorodia,wader_deep,15,0.0331858407079646,40.23,5.76,34.47
A2,2008,Recurvirostra avosetta,wader_mid,312,0.02536585365853658,40.23,5.76,34.47
A2,2008,Spatula clypeata,duck_dabb,265,0.0053,40.23,5.76,34.47
A2,2008,Tadorna tadorna,duck_dabb,35,0.00336538461538461,40.23,5.76,34.47
A2,2010,Anas crecca,duck_dabb,36,0.0018,12.69,1.53,11.16
A2,2010,Anas platyrhynchos,duck_dabb,530,0.053,12.69,1.53,11.16
A2,2010,Aythya ferina,duck_dive,140,0.014,12.69,1.53,11.16
A2,2010,Aythya fuligula,duck_dive,3,0.10714285714285714,12.69,1.53,11.16
A2,2010,Himantopus himantopus,wader_mid,90,0.01384615384615384,12.69,1.53,11.16
A2,2010,Limosa limosa,wader_mid,2700,0.09,12.69,1.53,11.16
A2,2010,Mareca penelope,duck_dabb,105,0.00529207197217882,12.69,1.53,11.16
A2,2010,Mareca strepera,duck_dabb,210,0.084,12.69,1.53,11.16
A2,2010,Netta rufina,duck_dive,170,0.02207792207792208,12.69,1.53,11.16
A2,2010,Phoenicopterus roseus,wader_deep,180,0.00512397164735688,12.69,1.53,11.16
A2,2010,Platalea leucorodia,wader_deep,63,0.13938053097345132,12.69,1.53,11.16
A2,2010,Recurvirostra avosetta,wader_mid,790,0.06422764227642276,12.69,1.53,11.16
A2,2010,Spatula clypeata,duck_dabb,80,0.0016,12.69,1.53,11.16
A2,2010,Spatula querquedula,duck_dabb,27,0.1115702479338843,12.69,1.53,11.16
A2,2012,Actitis hypoleucos,wader_shall,1,0.05555555555555555,43.74,6.12,37.62
A2,2012,Anas crecca,duck_dabb,80,0.004,43.74,6.12,37.62
A2,2012,Anas platyrhynchos,duck_dabb,380,0.038,43.74,6.12,37.62
A2,2012,Aythya ferina,duck_dive,18,0.0018,43.74,6.12,37.62
A2,2012,Calidris pugnax,wader_shall,91,0.03998242530755712,43.74,6.12,37.62
A2,2012,Himantopus himantopus,wader_mid,962,0.148,43.74,6.12,37.62
A2,2012,Mareca strepera,duck_dabb,85,0.034,43.74,6.12,37.62
A2,2012,Netta rufina,duck_dive,260,0.03376623376623376,43.74,6.12,37.62
A2,2012,Phoenicopterus roseus,wader_deep,475,0.01352159184719177,43.74,6.12,37.62
A2,2012,Platalea leucorodia,wader_deep,59,0.13053097345132744,43.74,6.12,37.62
A2,2012,Recurvirostra avosetta,wader_mid,1645,0.13373983739837397,43.74,6.12,37.62
A2,2012,Spatula clypeata,duck_dabb,328,0.00656,43.74,6.12,37.62
A2,2012,Tadorna tadorna,duck_dabb,15,0.00144230769230769,43.74,6.12,37.62
A2,2012,Tringa erythropus,wader_mid,50,0.0625,43.74,6.12,37.62
A2,2013,Anas acuta,duck_dabb,212,0.00415686274509804,49.23,7.38,41.85
A2,2013,Anas crecca,duck_dabb,398,0.0199,49.23,7.38,41.85
