parcela,año,Especie,fun_group,abundancia,abundancia_std
A1,2023,Actitis hypoleucos,wader_shall,2,0.1111111111111111
A1,2023,Anas acuta,duck_dabb,260,0.005098039215686275
A1,2023,Anas crecca,duck_dabb,20,0.001
A1,2023,Anas platyrhynchos,duck_dabb,180,0.018
A1,2023,Himantopus himantopus,wader_mid,20,0.003076923076923077
A1,2023,Mareca penelope,duck_dabb,50,0.0025200342724661057
A1,2023,Marmaronetta angustirostris,duck_dabb,2,0.0022222222222222222
A1,2023,Oxyura leucocephala,duck_dive,6,0.018867924528301886
A1,2023,Phoenicopterus roseus,wader_deep,37,0.0010532608386233596
A1,2023,Platalea leucorodia,wader_deep,8,0.017699115044247787
A1,2023,Spatula clypeata,duck_dabb,840,0.0168
A1,2024,Anas platyrhynchos,duck_dabb,36,0.0036
A1,2024,Aythya ferina,duck_dive,12,0.0012
A1,2024,Himantopus himantopus,wader_mid,12,0.0018461538461538461
A1,2024,Mareca strepera,duck_dabb,5,0.002
A1,2024,Netta rufina,duck_dive,6,7.792207792207792e-4
A1,2024,Oxyura leucocephala,duck_dive,11,0.03459119496855346
A1,2024,Phoenicopterus roseus,wader_deep,260,0.0074012923795155
A1,2024,Platalea leucorodia,wader_deep,3,0.00663716814159292
A1,2024,Plegadis falcinellus,wader_deep,3,2.4067388688327315e-4
A1,2024,Tringa totanus,wader_shall,2,0.0035026269702276708
A1,2025,Actitis hypoleucos,wader_shall,1,0.05555555555555555
A1,2025,Anas platyrhynchos,duck_dabb,68,0.0068
A1,2025,Aythya ferina,duck_dive,540,0.054
A1,2025,Himantopus himantopus,wader_mid,12,0.0018461538461538461
A1,2025,Mareca penelope,duck_dabb,39,0.0019656267325235625
A1,2025,Mareca strepera,duck_dabb,8,0.0032
A1,2025,Netta rufina,duck_dive,15,0.001948051948051948
A1,2025,Oxyura leucocephala,duck_dive,33,0.10377358490566038
A1,2025,Phoenicopterus roseus,wader_deep,125,0.0035583136439978364
A1,2025,Platalea leucorodia,wader_deep,4,0.008849557522123894
A1,2025,Plegadis falcinellus,wader_deep,1,8.022462896109105e-5
A2,2005,Actitis hypoleucos,wader_shall,9,0.5
A2,2005,Anas crecca,duck_dabb,70,0.0035
A2,2005,Anas platyrhynchos,duck_dabb,350,0.035
A2,2005,Anser anser,grazer,9,2.0454545454545454e-4
A2,2005,Himantopus himantopus,wader_mid,300,0.046153846153846156
A2,2005,Limosa limosa,wader_mid,350,0.011666666666666667
A2,2005,Phoenicopterus roseus,wader_deep,240,0.0068319621964758465
A2,2005,Platalea leucorodia,wader_deep,3,0.00663716814159292
A2,2005,Recurvirostra avosetta,wader_mid,351,0.02853658536585366
A2,2005,Spatula clypeata,duck_dabb,150,0.003
A2,2006,Anas platyrhynchos,duck_dabb,20,0.002
A2,2006,Aythya ferina,duck_dive,160,0.016
A2,2006,Calidris alpina,wader_shall,10,3.7037037037037035e-4
A2,2006,Himantopus himantopus,wader_mid,240,0.036923076923076927
A2,2006,Limosa limosa,wader_mid,25,8.333333333333334e-4
A2,2006,Phoenicopterus roseus,wader_deep,370,0.010532608386233596
A2,2006,Platalea leucorodia,wader_deep,2,0.004424778761061947
A2,2006,Recurvirostra avosetta,wader_mid,212,0.017235772357723576
A2,2006,Tadorna tadorna,duck_dabb,47,0.004519230769230769
A2,2006,Tringa totanus,wader_shall,140,0.24518388791593695
A2,2007,Actitis hypoleucos,wader_shall,2,0.1111111111111111
A2,2007,Anas crecca,duck_dabb,60,0.003
A2,2007,Anas platyrhynchos,duck_dabb,380,0.038
A2,2007,Aythya ferina,duck_dive,20,0.002
A2,2007,Himantopus himantopus,wader_mid,70,0.010769230769230769
A2,2007,Limosa limosa,wader_mid,210,0.007
A2,2007,Phoenicopterus roseus,wader_deep,60,0.0017079905491189616
A2,2007,Recurvirostra avosetta,wader_mid,121,0.00983739837398374
A2,2007,Spatula clypeata,duck_dabb,220,0.0044
A2,2007,Tadorna tadorna,duck_dabb,18,0.0017307692307692308
A2,2007,Tringa totanus,wader_shall,6,0.010507880910683012
A2,2008,Anas crecca,duck_dabb,65,0.00325
A2,2008,Anas platyrhynchos,duck_dabb,250,0.025
A2,2008,Himantopus himantopus,wader_mid,100,0.015384615384615385
A2,2008,Limosa limosa,wader_mid,214,0.0071333333333333335
A2,2008,Mareca strepera,duck_dabb,10,0.004
A2,2008,Netta rufina,duck_dive,2,2.5974025974025974e-4
A2,2008,Phoenicopterus roseus,wader_deep,340,0.009678613111674115
A2,2008,Platalea leucorodia,wader_deep,15,0.033185840707964605
A2,2008,Recurvirostra avosetta,wader_mid,312,0.025365853658536587
A2,2008,Spatula clypeata,duck_dabb,265,0.0053
A2,2008,Tadorna tadorna,duck_dabb,35,0.0033653846153846156
A2,2009,Anas acuta,duck_dabb,122,0.002392156862745098
A2,2009,Anas crecca,duck_dabb,960,0.048
A2,2009,Anas platyrhynchos,duck_dabb,522,0.0522
A2,2009,Aythya ferina,duck_dive,35,0.0035
A2,2009,Himantopus himantopus,wader_mid,90,0.013846153846153847
A2,2009,Mareca penelope,duck_dabb,50,0.0025200342724661057
A2,2009,Mareca strepera,duck_dabb,19,0.0076
A2,2009,Netta rufina,duck_dive,50,0.006493506493506494
A2,2009,Phoenicopterus roseus,wader_deep,304,0.008653818782202739
A2,2009,Platalea leucorodia,wader_deep,5,0.011061946902654867
A2,2009,Recurvirostra avosetta,wader_mid,134,0.010894308943089431
A2,2009,Spatula clypeata,duck_dabb,862,0.01724
A2,2009,Tadorna tadorna,duck_dabb,51,0.004903846153846154
A2,2010,Anas crecca,duck_dabb,36,0.0018
A2,2010,Anas platyrhynchos,duck_dabb,530,0.053
A2,2010,Aythya ferina,duck_dive,140,0.014
A2,2010,Aythya fuligula,duck_dive,3,0.10714285714285714
A2,2010,Himantopus himantopus,wader_mid,90,0.013846153846153847
A2,2010,Limosa limosa,wader_mid,2700,0.09
A2,2010,Mareca penelope,duck_dabb,105,0.005292071972178822
A2,2010,Mareca strepera,duck_dabb,210,0.084
A2,2010,Netta rufina,duck_dive,170,0.02207792207792208
A2,2010,Phoenicopterus roseus,wader_deep,180,0.005123971647356885
A2,2010,Platalea leucorodia,wader_deep,63,0.13938053097345132
A2,2010,Recurvirostra avosetta,wader_mid,790,0.06422764227642276
A2,2010,Spatula clypeata,duck_dabb,80,0.0016
A2,2010,Spatula querquedula,duck_dabb,27,0.1115702479338843
A2,2011,Anas acuta,duck_dabb,593,0.011627450980392157
A2,2011,Anas crecca,duck_dabb,123,0.00615
A2,2011,Anas platyrhynchos,duck_dabb,213,0.0213
A2,2011,Calidris alpina,wader_shall,1400,0.05185185185185185
A2,2011,Himantopus himantopus,wader_mid,1650,0.25384615384615383
A2,2011,Limosa limosa,wader_mid,3200,0.10666666666666667
A2,2011,Mareca penelope,duck_dabb,188,0.009475328864472558
A2,2011,Mareca strepera,duck_dabb,35,0.014
A2,2011,Marmaronetta angustirostris,duck_dabb,22,0.024444444444444446
A2,2011,Netta rufina,duck_dive,591,0.07675324675324675
A2,2011,Phoenicopterus roseus,wader_deep,230,0.006547297104956019
A2,2011,Platalea leucorodia,wader_deep,15,0.033185840707964605
A2,2011,Recurvirostra avosetta,wader_mid,2790,0.22682926829268293
A2,2011,Spatula clypeata,duck_dabb,163,0.00326
A2,2011,Tadorna tadorna,duck_dabb,2,1.923076923076923e-4
A2,2012,Actitis hypoleucos,wader_shall,1,0.05555555555555555
A2,2012,Anas crecca,duck_dabb,80,0.004
A2,2012,Anas platyrhynchos,duck_dabb,380,0.038
A2,2012,Aythya ferina,duck_dive,18,0.0018
A2,2012,Calidris pugnax,wader_shall,91,0.03998242530755712
A2,2012,Himantopus himantopus,wader_mid,962,0.148
A2,2012,Mareca strepera,duck_dabb,85,0.034
A2,2012,Netta rufina,duck_dive,260,0.033766233766233764
A2,2012,Phoenicopterus roseus,wader_deep,475,0.013521591847191778
A2,2012,Platalea leucorodia,wader_deep,59,0.13053097345132744
A2,2012,Recurvirostra avosetta,wader_mid,1645,0.13373983739837397
A2,2012,Spatula clypeata,duck_dabb,328,0.00656
