parcela,año,valor_medio_MNDWI,Ratio_Inundacion_Total,count_seco,count_vegetal,count_verde,count_azul,ratio_seco,ratio_vegetal,ratio_verde,ratio_azul
B1,2006,0.616192075277611,0.7483870967741936,133,62,103,477,0.17161290322580644,0.08,0.1329032258064516,0.6154838709677419
A3,2006,0.6871355464187379,0.7894039735099337,87,72,57,539,0.1152317880794702,0.09536423841059603,0.07549668874172186,0.713907284768212
B6,2006,0.6682099636604704,0.778751369112815,103,99,89,622,0.11281489594742607,0.10843373493975904,0.09748083242059145,0.6812705366922235
B8,2006,0.39286602494166334,0.5114942528735632,137,118,107,160,0.2624521072796935,0.2260536398467433,0.2049808429118774,0.3065134099616858
B7,2006,0.702982857048331,0.8170377541142304,100,89,98,746,0.0968054211035818,0.08615682478218781,0.09486931268151017,0.7221684414327202
A4,2006,0.5685323746660428,0.6773835920177383,142,149,106,505,0.1574279379157428,0.16518847006651885,0.11751662971175167,0.5598669623059866
B2,2006,0.6180605200590903,0.7031802120141343,128,124,78,519,0.15076560659599528,0.14605418138987045,0.09187279151943463,0.6113074204946997
A8,2006,0.5445576649807562,0.6586270871985158,111,73,49,306,0.20593692022263452,0.13543599257884972,0.09090909090909091,0.5677179962894249
A7,2006,0.638651129293592,0.7345750873108265,108,120,79,552,0.12572759022118743,0.13969732246798602,0.0919674039580908,0.6426076833527358
A6,2006,0.6227894863303525,0.7131410256410257,105,74,53,392,0.16826923076923078,0.11858974358974358,0.08493589743589744,0.6282051282051282
A5,2006,0.2807899243844437,0.4070138150903294,412,146,84,299,0.43783209351753455,0.155154091392136,0.08926673751328375,0.3177470775770457
B4,2006,0.6829042916844389,0.7824773413897281,111,105,82,695,0.11178247734138973,0.10574018126888217,0.08257804632426989,0.6998992950654582
B3,2006,0.6391918872765795,0.7124413145539906,146,99,30,577,0.17136150234741784,0.11619718309859155,0.035211267605633804,0.6772300469483568
A2,2006,0.5831638770581865,0.6892430278884463,136,98,88,431,0.1806108897742364,0.1301460823373174,0.11686586985391766,0.5723771580345286
A1,2006,0.6788581771036791,0.8003220611916264,73,51,61,436,0.11755233494363929,0.0821256038647343,0.09822866344605476,0.7020933977455717
C1,2006,0.6053956291236793,0.7204641350210971,133,132,118,565,0.14029535864978904,0.13924050632911392,0.12447257383966245,0.5959915611814346
C8,2006,0.3622579853539109,0.5015075376884423,399,97,72,427,0.40100502512562813,0.09748743718592964,0.07236180904522613,0.4291457286432161
C7,2006,0.5902037817040328,0.6774847870182555,177,141,108,560,0.1795131845841785,0.14300202839756593,0.10953346855983773,0.5679513184584178
